,CDCID,GenusName,InitialExposure,LastExposure,TotalCases,Exposurestate,ExposureState,ExposureCounty1,ExposureCounty2,ExposureCounty3,ExposureCounty4,ExposureCounty5,ExposureCounty6,ExposureCounty7,ExposureCounty8,ExposureCounty9,ExposureCounty10,ExposureCounty11,ExposureCounty12,ExposureCounty13,ExposureCounty14,ExposureCounty15,ExposureCounty16,ExposureCounty17,ExposureCounty18,ExposureCounty19,TEMP,MAX,MIN,DEWP,SLP,STP,WDSP,MXSPD,PRCP,SNDP,Fog,Rain or Drizzle,Snow or Ice Pellets,Hail,Thunder,Tornado or Funnel Cloud,Median age,Immigrants,RH,SLP-STP,MSXPD-WDSP,Households Median Income,%Food preparation,"%Farming, fishing, and forestry",Population Density
0,6376,Salmonella,2011/1/8,2011/1/28,11,CT,Connecticut,New London,,,,,,,,,,,,,,,,,,,26.26190476,32.50793651,20.68571429,16.17857143,1013.557143,1013.109524,8.646031746,15.63492063,0.037142857,0.0,0.142857143,0.095238095,0.142857143,0.0,0.0,0.0,39.99013699,18789.5589,65.15681437294015,0.4476190000000315,6.988888884,66931.53973,6.122548272,0.181759333,410.3970847
1,6742,Salmonella,2011/3/9,2011/3/13,51,LA,Louisiana,Avoyelles,,,,,,,,,,,,,,,,,,,60.6,72.388,47.022,47.048,1021.114,1017.022,5.146,12.366,1.206,0.0,0.2,0.2,0.0,0.0,0.2,0.0,38.46164384,2218.287671,60.93791406249892,4.0919999999999845,7.22,32146.67123,7.55784894,2.2223451,50.43535686
2,6917,Salmonella,2011/3/3,2011/3/13,8,CT,Connecticut,New Haven,,,,,,,,,,,,,,,,,,,38.30227273,46.33636364,31.22045455,26.88181818,1023.769697,1013.184848,8.504545455,16.01818182,0.166439394,0.0,0.068181818,0.295454545,0.045454545,0.0,0.0,0.0,38.94493151,35658.21918,63.14225129054661,10.584848999999963,7.513636364999998,62243.13425,4.815985441,0.186321064,1419.958055
3,7025,Salmonella,2011/3/5,2011/3/5,18,MD,Maryland,Frederick,,,,,,,,,,,,,,,,,,,45.45,59.25,37.15,37.5,1027.2,988.55,8.0,20.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,38.22986301,13284.73699,73.5530875838529,38.65000000000009,12.0,82495.8137,3.902242845,0.245475448,350.3122247
4,7031,Salmonella,2011/3/12,2011/3/24,81,RI,Rhode Island,Bristol,Kent,Newport,Providence,,,,,,,,,,,,,,,,40.43846154,48.11730769,34.52596154,30.3,1017.727839,1009.717949,7.622115385,14.46057692,0.027019231,0.0,0.076923077,0.067307692,0.076923077,0.0,0.0,0.0,41.00780822,11548.09315,66.83712142406057,8.009890000000041,6.8384615349999995,62365.46301,6.510218273,0.270031215,1353.479588
5,7152,Salmonella,2011/1/6,2011/1/28,6,MI,Michigan,Lenawee,,,,,,,,,,,,,,,,,,,19.58695652,25.92608696,12.7173913,14.85217391,1017.904348,986.8521739,5.486956522,10.55652174,0.018695652,0.0,0.130434783,0.043478261,0.739130435,0.0,0.0,0.0,39.6860274,5415.238356,81.46138399174951,31.052174100000002,5.069565218000001,48596.07123,6.053628617,1.435768866,134.0482307
6,7198,Salmonella,2011/4/2,2011/5/4,7,MI,Michigan,Macomb,Oakland,Wayne,,,,,,,,,,,,,,,,,47.25335498,57.21125541,39.76255411,36.93268398,1012.59798,986.8799423,8.940422078,16.59399351,0.13369228,0.0,0.083333333,0.586580087,0.073051948,0.003787879,0.119047619,0.0,38.69150685,53739.06301,67.18933230845093,25.718037699999968,7.6535714320000015,54162.52877,5.919006943,0.148467239,2053.774678
7,7323,Salmonella,2011/4/5,2011/5/9,36,IL,Illinois,Kane,,,,,,,,,,,,,,,,,,,49.33142857,60.00285714,40.41714286,39.38571429,1012.742857,986.5257143,10.16,17.84285714,0.122285714,0.0,0.057142857,0.6,0.028571429,0.0,0.171428571,0.0,34.33863014,29213.32603,68.4360682499015,26.217142699999954,7.682857139999999,68965.45753,4.403564246,0.199290525,975.8025918
8,7359,Salmonella,2011/1/20,2011/1/20,7,CA,California,Fresno,,,,,,,,,,,,,,,,,,,50.3,63.0,41.0,43.5,1020.9,1008.9,0.8,4.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.5890411,32966.45205,77.38900371548091,12.0,3.3,46877.08219,5.043389614,8.047648695,154.4105996
9,7419,Salmonella,2011/3/30,2011/4/12,14,GA,Georgia,Clarke,Clayton,DeKalb,Forsyth,Fulton,Gwinnett,Henry,Oconee,Oglethorpe,Walton,,,,,,,,,,61.60892857,74.71242857,48.64392857,44.16801587,1014.108776,980.5578571,6.409206349,13.86619048,0.118222222,0.0,0.035714286,0.192857143,0.0,0.0,0.085714286,0.0,34.72243836,29835.30589,52.71825987640616,33.550918900000056,7.4569841310000005,57015.20041,5.095858627,0.540649171,1076.603551
10,7675,Salmonella,2011/4/30,2011/4/30,10,PA,Pennsylvania,Montgomery,,,,,,,,,,,,,,,,,,,55.45,68.1,46.3,37.4,1017.7,1006.4,5.65,11.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.33424658,43112.64384,50.55545074691587,11.300000000000068,5.799999999999999,77766.76712,4.090608902,0.094223068,1642.651818
11,7887,Salmonella,2011/1/23,2011/4/20,37,CA,California,Alameda,Contra Costa,El Dorado,Monterey,Placer,Sacramento,San Joaquin,San Luis Obispo,Santa Barbara,Santa Clara,Solano,Stanislaus,,,,,,,,51.21547988,61.75352076,43.055272,40.91746494,1018.559825,996.8818012,5.777120802,13.02817682,0.070921543,0.0,0.079166936,0.20746988,0.025986662,0.000606168,0.005730761,0.0,36.27267123,42654.29235,67.72745696533727,21.678023800000005,7.251056018000001,66021.96849,5.261135579,2.44948832,693.7204475
12,7890,Salmonella,2011/5/13,2011/5/14,25,GA,Georgia,Pulaski,,,,,,,,,,,,,,,,,,,78.25,92.71,63.77,64.17,1011.3,1001.03,3.28,11.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.43424658,643.2643836,62.063364687572516,10.269999999999982,7.870000000000001,33827.76164,12.07702534,2.568226085,46.96391863
13,7954,Salmonella,2011/6/4,2011/6/9,20,MO,Missouri,Ray,,,,,,,,,,,,,,,,,,,82.645,93.25666667,72.185,66.81333333,1011.798333,981.5466667,7.606666667,13.72833333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.65684932,1075.547945,58.95497125651745,30.25166630000001,6.121666663,54097.39041,3.191532272,0.326858299,41.48298792
